target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,exponential_smoothing,32,1,32,0.0,1.5672433208322138e-102,0.0,0.4743346367586645,1.5672433208322138e-102,1.5672433208322138e-102,1,0.4743346367586645,6.202760418952567e-34,6.202760418952567e-34,
actionable_probability_mass,exponential_smoothing,32,2,33,0.0,1.5672433208322138e-102,0.0,0.670810476407419,1.5672433208322138e-102,1.5672433208322138e-102,1,0.670810476407419,6.202760418952567e-34,6.202760418952567e-34,
actionable_probability_mass,exponential_smoothing,34,1,34,0.3572097058644798,3.47997923995583e-118,0.0,0.4735902976729093,-0.3572097058644798,0.3572097058644798,1,0.4735902976729093,0.08930242646611995,-0.08930242646611995,1.0
actionable_probability_mass,exponential_smoothing,34,2,35,0.0,3.47997923995583e-118,0.0,0.6697578219773396,3.47997923995583e-118,3.47997923995583e-118,1,0.6697578219773396,0.08930242646611995,-0.08930242646611995,1.0
actionable_probability_mass,exponential_smoothing,36,1,36,0.0,5.322839327777034e-09,0.0,0.47284596390999345,5.322839327777034e-09,5.322839327777034e-09,1,0.47284596390999345,0.08930242779682979,-0.08930242513541012,1.000000014901161
actionable_probability_mass,exponential_smoothing,36,2,37,0.0,5.322839327777034e-09,0.0,0.6687051728700996,5.322839327777034e-09,5.322839327777034e-09,1,0.6687051728700996,0.08930242912753962,-0.08930242380470028,1.000000029802322
actionable_probability_mass,exponential_smoothing,38,1,38,0.0,1.1819077556156708e-24,0.0,0.47210161950139895,1.1819077556156708e-24,1.1819077556156708e-24,1,0.47210161950139895,2.6614196638885176e-09,2.6614196638885176e-09,
actionable_probability_mass,exponential_smoothing,38,2,39,0.0,1.1819077556156708e-24,0.0,0.6676525131171809,1.1819077556156708e-24,1.1819077556156708e-24,1,0.6676525131171809,2.6614196638885176e-09,2.6614196638885176e-09,
actionable_probability_mass,exponential_smoothing,40,1,40,0.0,2.6243624065351208e-40,0.0,0.4713572804156438,2.6243624065351208e-40,2.6243624065351208e-40,1,0.4713572804156438,1.3307098319442592e-09,1.3307098319442592e-09,
actionable_probability_mass,exponential_smoothing,40,2,41,0.0,2.6243624065351208e-40,0.0,0.6665998586871016,2.6243624065351208e-40,2.6243624065351208e-40,1,0.6665998586871016,5.909538774919254e-25,5.909538774919254e-25,
actionable_probability_mass,exponential_smoothing,42,1,42,0.0,5.827255137391953e-56,0.0,0.4596075703719374,5.827255137391953e-56,5.827255137391953e-56,1,0.4596075703719374,2.9547693858800773e-25,2.9547693858800773e-25,
actionable_probability_mass,exponential_smoothing,42,2,43,0.0,5.827255137391953e-56,0.0,0.6499832593893407,5.827255137391953e-56,5.827255137391953e-56,1,0.6499832593893407,0.0,0.0,
actionable_probability_mass,exponential_smoothing,44,1,44,0.0,1.2939105647795552e-71,0.0,0.4368524893702806,1.2939105647795552e-71,1.2939105647795552e-71,1,0.4368524893702806,0.0,0.0,
