target,period_start,actual
actionable_probability_mass,2023-12-11 00:00:00+00:00,0.0
actionable_probability_mass,2023-12-18 00:00:00+00:00,0.0
actionable_probability_mass,2023-12-25 00:00:00+00:00,0.0
actionable_probability_mass,2024-01-01 00:00:00+00:00,0.0
actionable_probability_mass,2024-01-08 00:00:00+00:00,0.0
actionable_probability_mass,2024-01-15 00:00:00+00:00,0.0
actionable_probability_mass,2024-01-22 00:00:00+00:00,0.0
actionable_probability_mass,2024-01-29 00:00:00+00:00,0.0
actionable_probability_mass,2024-02-05 00:00:00+00:00,0.0
actionable_probability_mass,2024-02-12 00:00:00+00:00,0.0
actionable_probability_mass,2024-02-19 00:00:00+00:00,0.0
actionable_probability_mass,2024-02-26 00:00:00+00:00,0.0
actionable_probability_mass,2024-03-04 00:00:00+00:00,0.0
actionable_probability_mass,2024-03-11 00:00:00+00:00,0.0
actionable_probability_mass,2024-03-18 00:00:00+00:00,0.0
actionable_probability_mass,2024-03-25 00:00:00+00:00,0.0
actionable_probability_mass,2024-04-01 00:00:00+00:00,0.0
actionable_probability_mass,2024-04-08 00:00:00+00:00,0.43524416262512
actionable_probability_mass,2024-04-15 00:00:00+00:00,0.0
actionable_probability_mass,2024-04-22 00:00:00+00:00,0.0
actionable_probability_mass,2024-04-29 00:00:00+00:00,0.0
actionable_probability_mass,2024-05-06 00:00:00+00:00,0.0
actionable_probability_mass,2024-05-13 00:00:00+00:00,0.0
actionable_probability_mass,2024-05-20 00:00:00+00:00,0.0
actionable_probability_mass,2024-05-27 00:00:00+00:00,3.44480621866376
actionable_probability_mass,2024-06-03 00:00:00+00:00,1.9096506040024297
actionable_probability_mass,2024-06-10 00:00:00+00:00,3.891809400615239
actionable_probability_mass,2024-06-17 00:00:00+00:00,2.9955446264856245
actionable_probability_mass,2024-06-24 00:00:00+00:00,0.912506686080536
actionable_probability_mass,2024-07-01 00:00:00+00:00,0.5435059971769587
actionable_probability_mass,2024-07-08 00:00:00+00:00,0.5277457521369908
actionable_probability_mass,2024-07-15 00:00:00+00:00,0.0
actionable_probability_mass,2024-07-22 00:00:00+00:00,0.0
actionable_probability_mass,2024-07-29 00:00:00+00:00,0.0
actionable_probability_mass,2024-08-05 00:00:00+00:00,0.5080002896059868
actionable_probability_mass,2024-08-12 00:00:00+00:00,0.5280101413359624
actionable_probability_mass,2024-08-19 00:00:00+00:00,0.401555825299013
