target,model,origin,horizon_step,period_index,actual,forecast,lower,upper
actionable_probability_mass,naive,78,1,78,0.0,0.0,0.0,0.47247379351937524
actionable_probability_mass,naive,78,2,79,0.0,0.0,0.0,0.6681788466609658
actionable_probability_mass,naive,80,1,80,0.0,0.0,0.0,0.4717294521960707
actionable_probability_mass,naive,80,2,81,0.0,0.0,0.0,0.6671261890665139
actionable_probability_mass,naive,82,1,82,0.0,0.0,0.0,0.4709851108727662
actionable_probability_mass,naive,82,2,83,0.3594509757342988,0.0,0.0,0.6660735314720618
actionable_probability_mass,naive,84,1,84,0.0,0.3594509757342988,0.0,0.8081292595793712
actionable_probability_mass,naive,84,2,85,0.0,0.3594509757342988,0.0,0.9939778898902853
actionable_probability_mass,naive,86,1,86,0.0,0.0,0.0,0.4263714568173802
actionable_probability_mass,naive,86,2,87,0.0,0.0,0.0,0.6029802968399136
actionable_probability_mass,naive,88,1,88,0.0,0.0,0.0,0.4040646297896864
actionable_probability_mass,naive,88,2,89,0.0,0.0,0.0,0.5714336795238383
actionable_probability_mass,naive,90,1,90,0.0,0.0,0.0,0.38175780276199256
actionable_probability_mass,naive,90,2,91,0.0,0.0,0.0,0.539887062207763
actionable_probability_mass,naive,92,1,92,0.0,0.0,0.0,0.3594509757342988
actionable_probability_mass,naive,92,2,93,0.0,0.0,0.0,0.5083404448916877
actionable_probability_mass,naive,94,1,94,0.0,0.0,0.0,0.359002721760335
actionable_probability_mass,naive,94,2,95,0.0,0.0,0.0,0.5077065180423205
actionable_probability_mass,naive,96,1,96,0.0,0.0,0.0,0.35855446778637123
actionable_probability_mass,naive,96,2,97,0.0,0.0,0.0,0.5070725911929532
actionable_probability_mass,naive,98,1,98,0.0,0.0,0.0,0.3581062138124074
actionable_probability_mass,naive,98,2,99,0.0,0.0,0.0,0.506438664343586
actionable_probability_mass,naive,100,1,100,0.0,0.0,0.0,0.3576579598384436
actionable_probability_mass,naive,100,2,101,0.0,0.0,0.0,0.5058047374942187
actionable_probability_mass,naive,102,1,102,0.0,0.0,0.0,0.3572097058644798
actionable_probability_mass,naive,102,2,103,0.0,0.0,0.0,0.5051708106448515
actionable_probability_mass,naive,104,1,104,0.43524416262512,0.0,0.0,0.3554987628541789
actionable_probability_mass,naive,104,2,105,0.0,0.0,0.0,0.5027511718352365
actionable_probability_mass,naive,106,1,106,0.0,0.0,0.0,0.35855446778637123
actionable_probability_mass,naive,106,2,107,0.0,0.0,0.0,0.5070725911929532
actionable_probability_mass,naive,108,1,108,0.0,0.0,0.0,0.3581062138124074
