target,period_start,horizon_step,model,forecast,lower,upper
actionable_probability_mass,2026-04-27 00:00:00+00:00,1,bayesian,2.2662215716665255,0.0,6.7166083418262295
actionable_probability_mass,2026-05-04 00:00:00+00:00,2,bayesian,2.23708649165756,0.0,6.7345549418457855
actionable_probability_mass,2026-05-11 00:00:00+00:00,3,bayesian,2.1318486938801167,0.0,6.578302811057321
actionable_probability_mass,2026-05-18 00:00:00+00:00,4,bayesian,2.0744454745076957,0.0,6.1882912598139646
total_comments,2026-04-27 00:00:00+00:00,1,bayesian,3.86575,0.0,12.0
total_comments,2026-05-04 00:00:00+00:00,2,bayesian,3.8365,0.0,11.0
total_comments,2026-05-11 00:00:00+00:00,3,bayesian,3.761,0.0,11.0
total_comments,2026-05-18 00:00:00+00:00,4,bayesian,3.719,0.0,11.0
