model,n_seeds,stage1_f1_mean,stage1_f1_std,stage1_f1_median,stage1_pr_auc_mean,stage1_pr_auc_std,stage1_pr_auc_median,stage1_precision_mean,stage1_precision_std,stage1_precision_median,stage1_recall_mean,stage1_recall_std,stage1_recall_median,stage1_brier_mean,stage1_brier_std,stage1_brier_median,stage1_ece_mean,stage1_ece_std,stage1_ece_median,stage2_macro_f1_mean,stage2_macro_f1_std,stage2_macro_f1_median,flat_macro_f1_mean,flat_macro_f1_std,flat_macro_f1_median,flat_weighted_f1_mean,flat_weighted_f1_std,flat_weighted_f1_median,e2e_macro_f1_mean,e2e_macro_f1_std,e2e_macro_f1_median,e2e_weighted_f1_mean,e2e_weighted_f1_std,e2e_weighted_f1_median,lift_at_10pct_mean,lift_at_10pct_std,lift_at_10pct_median,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct_median
char_word_svm,5,0.643030303030303,0.05900926761036647,0.6666666666666666,0.750751440239197,0.07451913333666287,0.8021475256769374,0.5577631578947368,0.08785561821451512,0.5384615384615384,0.7743434343434343,0.09645168880131257,0.7777777777777778,0.19153834379372517,0.10697157186328705,0.15210389010763353,0.19299931859914604,0.10313188852289552,0.1445725395525921,0.3670639164756812,0.15425673440993315,0.4318181818181818,0.2895310785174978,0.03735096875809483,0.30454545454545456,0.664991993077604,0.06578239150522415,0.6962518740629685,0.3267768986271725,0.07541877668960835,0.3194444444444444,0.6695754631845923,0.07626997271790428,0.6944444444444444,2.9408080808080808,0.4164628212720646,2.8,0.9,0.13693063937629152,1.0
linear_svm,5,0.6554718614718614,0.0907261589695375,0.6666666666666666,0.7403010682802205,0.09812552101660182,0.7879227053140097,0.5649301575617366,0.11647354941132851,0.5263157894736842,0.7943434343434344,0.08709624880242275,0.8,0.19702133157187718,0.10245801772808473,0.1557464581829799,0.19424371832268972,0.10520598812874893,0.16257102829308,0.3133498527616174,0.13386264295758907,0.3205128205128205,0.2834509390304797,0.03336542943672913,0.2914141414141414,0.6550029065489552,0.06068654363689629,0.6662668665667166,0.3041525249609739,0.06647531487790664,0.3071428571428571,0.6471854549930304,0.11004978497792826,0.7141375291375291,2.9408080808080808,0.4164628212720646,2.8,0.9,0.13693063937629152,1.0
logistic,5,0.6221054308010829,0.05529505307227508,0.6086956521739131,0.7185961309609298,0.07980102114088036,0.7574157868275517,0.6252631578947369,0.21344684768509373,0.5263157894736842,0.7143434343434343,0.19609804543681814,0.7777777777777778,0.21489613556349685,0.004391301539559024,0.21402063478225025,0.23427201184103003,0.04211887123766669,0.2447186871789965,0.31752567693744166,0.11423473427071743,0.3365079365079365,0.33163440855658133,0.0732728384133018,0.3295454545454546,0.6987971630440055,0.025328725973488835,0.690357023690357,0.30789778913514726,0.04844369857714059,0.3298245614035088,0.6531218582748013,0.09373602663001775,0.6938775510204082,2.5953535353535355,0.833199744419429,2.8,0.7833333333333333,0.2173067468400883,0.75
majority,5,0.4726522187822497,0.08691122978376713,0.47368421052631576,0.31283616128443714,0.07425761970856577,0.3103448275862069,0.31283616128443714,0.07425761970856577,0.3103448275862069,1.0,0.0,1.0,0.2147504659001776,0.02748752521474435,0.21445074564167188,0.05820878915638854,0.031698985703321504,0.06698187549251372,0.05380952380952381,0.05733103934660838,0.05,0.17293352684518362,0.028083089910912032,0.176,0.5615874808469308,0.09632018997308534,0.5629838142153413,0.016834208552138036,0.02164662234260591,0.009302325581395349,0.009960863231680935,0.01640365866437936,0.0011074197120708748,0.16363636363636364,0.3659020326817838,0.0,0.06666666666666667,0.14907119849998599,0.0
rules,5,0.6504545454545454,0.07580225954944043,0.6666666666666666,0.5748532933454564,0.06058153468200877,0.6008939974457217,0.7705339105339105,0.04974907311534636,0.7777777777777778,0.5749494949494949,0.12076178971900477,0.5555555555555556,0.1667882361122191,0.046704673462450795,0.14919150796965464,0.11386684482978784,0.07317212777501421,0.08025109990992647,0.27327849927849923,0.1791372505203966,0.27777777777777773,0.41386681126183333,0.15861905015130864,0.409536541889483,0.7406621037609469,0.07701776281655696,0.741124152511482,0.41386681126183333,0.15861905015130864,0.409536541889483,0.7406621037609469,0.07701776281655696,0.741124152511482,2.539326599326599,0.6266771373590585,2.4545454545454546,0.7666666666666666,0.13693063937629155,0.75
