model,seed,evaluation_mode,evaluation_status,selected_threshold,threshold_objective,calibrated,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,stage1_roc_auc,stage1_pr_auc,stage1_brier,stage1_ece,stage2_macro_f1,stage2_accuracy,flat_accuracy,flat_macro_f1,flat_weighted_f1,e2e_accuracy,e2e_macro_f1,e2e_weighted_f1,notes,precision_at_10,recall_at_10,lift_at_10,precision_at_25,recall_at_25,lift_at_25,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
char_word_svm,44,group_holdout,development_preliminary,0.2400363002757317,f1,True,0.7857142857142857,0.7,0.7,0.7,0.7944444444444445,0.8021475256769374,0.15463481879552274,0.1703590180486293,0.20588235294117646,0.7,0.7142857142857143,0.30454545454545456,0.6402597402597403,0.7142857142857143,0.3472222222222222,0.6944444444444444,,0.7,0.7,1.9599999999999997,0.36,0.9,1.008,1.0,0.1,2.8,1.0,0.3,2.8,0.8333333333333334,0.5,2.3333333333333335
majority,45,group_holdout,development_preliminary,0.3404255309148936,f1,False,0.4074074074074074,0.4074074074074074,1.0,0.5789473684210527,0.5,0.4074074074074074,0.24591318344147672,0.06698187549251372,0.13333333333333333,0.36363636363636365,0.5925925925925926,0.14883720930232558,0.4409991386735573,0.14814814814814814,0.05161290322580645,0.038231780167264036,,0.3,0.2727272727272727,0.7363636363636363,0.4,0.9090909090909091,0.9818181818181819,0.0,0.0,0.0,0.3333333333333333,0.09090909090909091,0.8181818181818182,0.4,0.18181818181818182,0.9818181818181819
rules,45,group_holdout,development_preliminary,7.97830260007515e-05,f1,True,0.7777777777777778,0.7777777777777778,0.6363636363636364,0.7,0.7556818181818181,0.6430976430976432,0.2314592284890164,0.24069003994568217,0.30952380952380953,0.36363636363636365,0.6666666666666666,0.4467787114845938,0.6520385932150637,0.6666666666666666,0.4467787114845938,0.6520385932150637,,0.7,0.6363636363636364,1.7181818181818183,0.4,0.9090909090909091,0.9818181818181819,1.0,0.09090909090909091,2.4545454545454546,1.0,0.2727272727272727,2.4545454545454546,1.0,0.45454545454545453,2.4545454545454546
logistic,45,group_holdout,development_preliminary,0.4640651068437588,f1,False,0.6296296296296297,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.8238636363636364,0.7790843214756259,0.21259818308746267,0.18111143312629932,0.38095238095238093,0.6363636363636364,0.7407407407407407,0.4454954954954955,0.690357023690357,0.48148148148148145,0.3298245614035088,0.5035737491877843,,0.7,0.6363636363636364,1.7181818181818183,0.44,1.0,1.08,1.0,0.09090909090909091,2.4545454545454546,0.6666666666666666,0.18181818181818182,1.6363636363636365,0.8,0.36363636363636365,1.9636363636363638
linear_svm,45,group_holdout,development_preliminary,0.031240257558514156,f1,True,0.6296296296296297,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.8693181818181818,0.83497335997336,0.3798845044309623,0.3750193618132112,0.3205128205128205,0.5454545454545454,0.6666666666666666,0.2894308943089431,0.5612767238783499,0.4444444444444444,0.3071428571428571,0.48677248677248675,,0.8,0.7272727272727273,1.9636363636363638,0.44,1.0,1.08,1.0,0.09090909090909091,2.4545454545454546,1.0,0.2727272727272727,2.4545454545454546,0.8,0.36363636363636365,1.9636363636363638
char_word_svm,45,group_holdout,development_preliminary,0.03121184569826349,f1,True,0.6296296296296297,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.8465909090909091,0.8092836456472821,0.3820889986056858,0.3758318278360211,0.4318181818181818,0.7272727272727273,0.6666666666666666,0.2894308943089431,0.5612767238783499,0.5185185185185185,0.3194444444444444,0.54320987654321,,0.7,0.6363636363636364,1.7181818181818183,0.44,1.0,1.08,1.0,0.09090909090909091,2.4545454545454546,1.0,0.2727272727272727,2.4545454545454546,0.8,0.36363636363636365,1.9636363636363638
majority,46,group_holdout,development_preliminary,0.3089430884308943,f1,False,0.21428571428571427,0.21428571428571427,1.0,0.35294117647058826,0.5,0.21428571428571427,0.17732736560815088,0.09465737514518005,0.05,0.1111111111111111,0.7857142857142857,0.176,0.6914285714285714,0.023809523809523808,0.009302325581395349,0.0011074197120708748,,0.0,0.0,0.0,0.08,0.2222222222222222,0.37333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rules,46,group_holdout,development_preliminary,0.04760715418559785,f1,True,0.8571428571428571,0.7142857142857143,0.5555555555555556,0.625,0.7474747474747475,0.4920634920634921,0.12547756391224651,0.07938839568870447,0.27777777777777773,0.4444444444444444,0.8333333333333334,0.409536541889483,0.8181181563534504,0.8333333333333334,0.409536541889483,0.8181181563534504,,0.5,0.5555555555555556,2.3333333333333335,0.24,0.6666666666666666,1.12,1.0,0.2222222222222222,4.666666666666667,0.75,0.3333333333333333,3.5,0.625,0.5555555555555556,2.916666666666667
logistic,46,group_holdout,development_preliminary,0.4767806201953111,f1,False,0.7857142857142857,0.5,0.6666666666666666,0.5714285714285714,0.7878787878787878,0.5945242358285836,0.21402063478225025,0.2447186871789965,0.4642857142857143,0.7777777777777778,0.7857142857142857,0.25464788732394367,0.7432595573440643,0.7380952380952381,0.27142857142857146,0.7448979591836734,,0.5,0.5555555555555556,2.3333333333333335,0.32,0.8888888888888888,1.4933333333333334,1.0,0.2222222222222222,4.666666666666667,0.75,0.3333333333333333,3.5,0.5,0.4444444444444444,2.3333333333333335
linear_svm,46,group_holdout,development_preliminary,0.4055785843556785,f1,True,0.7619047619047619,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.8047138047138047,0.607308000641334,0.1511651264638951,0.1894670796290226,0.4642857142857143,0.7777777777777778,0.7857142857142857,0.22534246575342465,0.724559686888454,0.7142857142857143,0.2618595825426945,0.7262130658715099,,0.5,0.5555555555555556,2.3333333333333335,0.36,1.0,1.68,1.0,0.2222222222222222,4.666666666666667,0.75,0.3333333333333333,3.5,0.5,0.4444444444444444,2.3333333333333335
char_word_svm,46,group_holdout,development_preliminary,0.36504605813771335,f1,True,0.7619047619047619,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.8619528619528619,0.6563881107998755,0.13104802069686652,0.1345158809742065,0.4642857142857143,0.7777777777777778,0.7857142857142857,0.22534246575342465,0.724559686888454,0.7142857142857143,0.267741935483871,0.7304147465437788,,0.5,0.5555555555555556,2.3333333333333335,0.36,1.0,1.68,1.0,0.2222222222222222,4.666666666666667,0.75,0.3333333333333333,3.5,0.625,0.5555555555555556,2.916666666666667
